nseSymbol,companyName,,,, MARKET LOT,ISIN
ALKYLAMINE,Alkyl Amines Chemicals Limited,,,,1,INE150B01039
ALLCARGO,Allcargo Logistics Limited,,,,1,INE418H01029
ALLDIGI,Alldigi Tech Limited,,,,1,INE835G01018
ALMONDZ,Almondz Global Securities Limited,,,,1,INE326B01035
ALOKINDS,Alok Industries Limited,,,,1,INE270A01029
ALPA,Alpa Laboratories Limited,,,,1,INE385I01010
ALPHAGEO,Alphageo (India) Limited,,,,1,INE137C01018
AMBER,Amber Enterprises India Limited,,,,1,INE371P01015
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,,,,1,INE792B01012
AMBIKCO,Ambika Cotton Mills Limited,,,,1,INE540G01014
AMBUJACEM,Ambuja Cements Limited,,,,1,INE079A01024
AMDIND,AMD Industries Limited,,,,1,INE005I01014
AMJLAND,Amj Land Holdings Limited,,,,1,INE606A01024
AMNPLST,Amines & Plasticizers Limited,,,,1,INE275D01022
AMRUTANJAN,Amrutanjan Health Care Limited,,,,1,INE098F01031
ANANDRATHI,Anand Rathi Wealth Limited,,,,1,INE463V01026
ANANTRAJ,Anant Raj Limited,,,,1,INE242C01024
ANDHRAPAP,ANDHRA PAPER LIMITED,,,,1,INE435A01051
ANDHRSUGAR,The Andhra Sugars Limited,,,,1,INE715B01021
ANGELONE,Angel One Limited,,,,1,INE732I01013
ANIKINDS,Anik Industries Limited,,,,1,INE087B01017
ANKITMETAL,Ankit Metal & Power Limited,,,,1,INE106I01010
ANMOL,Anmol India Limited,,,,1,INE02AR01019
ANSALAPI,Ansal Properties & Infrastructure Limited,,,,1,INE436A01026
ANTGRAPHIC,Antarctica Limited,,,,1,INE414B01021
ANUHPHR,Anuh Pharma Limited,,,,1,INE489G01022
ANUP,The Anup Engineering Limited,,,,1,INE294Z01018
ANURAS,Anupam Rasayan India Limited,,,,1,INE930P01018
APARINDS,Apar Industries Limited,,,,1,INE372A01015
APCL,Anjani Portland Cement Limited,,,,1,INE071F01012
APCOTEXIND,Apcotex Industries Limited,,,,1,INE116A01032
APEX,Apex Frozen Foods Limited,,,,1,INE346W01013
APLAPOLLO,APL Apollo Tubes Limited,,,,1,INE702C01027
APLLTD,Alembic Pharmaceuticals Limited,,,,1,INE901L01018
APOLLO,Apollo Micro Systems Limited,,,,1,INE713T01028
APOLLOHOSP,Apollo Hospitals Enterprise Limited,,,,1,INE437A01024
APOLLOPIPE,Apollo Pipes Limited,,,,1,INE126J01016
APOLLOTYRE,Apollo Tyres Limited,,,,1,INE438A01022
APOLSINHOT,Apollo Sindoori Hotels Limited,,,,1,INE451F01024
APTECHT,Aptech Limited,,,,1,INE266F01018
APTUS,Aptus Value Housing Finance India Limited,,,,1,INE852O01025
ARCHIDPLY,Archidply Industries Limited,,,,1,INE877I01016
ARCHIES,Archies Limited,,,,1,INE731A01020
ARE&M,Amara Raja Energy & Mobility Limited,,,,1,INE885A01032
ARENTERP,Rajdarshan Industries Limited,,,,1,INE610C01014
ARIES,Aries Agro Limited,,,,1,INE298I01015
ARIHANTCAP,Arihant Capital Markets Limited,,,,1,INE420B01036
ARIHANTSUP,Arihant Superstructures Limited,,,,1,INE643K01018
ARISINFRA,Arisinfra Solutions Limited,,,,1,INE0H9P01028
ARKADE,Arkade Developers Limited,,,,1,INE0QRL01017
ARMANFIN,Arman Financial Services Limited,,,,1,INE109C01017
AROGRANITE,Aro Granite Industries Limited,,,,1,INE210C01013
ARROWGREEN,Arrow Greentech Limited,,,,1,INE570D01018
ARSHIYA,Arshiya Limited,,,,1,INE968D01022
ARSSINFRA,ARSS Infrastructure Projects Limited,,,,1,INE267I01010
ARTEMISMED,Artemis Medicare Services Limited,,,,1,INE025R01021
ARTNIRMAN,Art Nirman Limited,,,,1,INE738V01013
ARVEE,Arvee Laboratories (India) Limited,,,,1,INE006Z01016
ARVIND,Arvind Limited,,,,1,INE034A01011
ARVINDFASN,Arvind Fashions Limited,,,,1,INE955V01021
ARVSMART,Arvind SmartSpaces Limited,,,,1,INE034S01021
ASAHIINDIA,Asahi India Glass Limited,,,,1,INE439A01020
ASAHISONG,Asahi Songwon Colors Limited,,,,1,INE228I01012
ASAL,Automotive Stampings and Assemblies Limited,,,,1,INE900C01027
ASALCBR,Associated Alcohols & Breweries Ltd.,,,,1,INE073G01016
ASHAPURMIN,Ashapura Minechem Limited,,,,1,INE348A01023
ASHIANA,Ashiana Housing Limited,,,,1,INE365D01021
ASHIMASYN,Ashima Limited,,,,1,INE440A01010
ASHOKA,Ashoka Buildcon Limited,,,,1,INE442H01029
ASHOKAMET,Ashoka Metcast Limited,,,,1,INE760Y01011
ASHOKLEY,Ashok Leyland Limited,,,,1,INE208A01029
ASIANENE,Asian Energy Services Limited,,,,1,INE276G01015
ASIANHOTNR,Asian Hotels (North) Limited,,,,1,INE363A01022
ASIANPAINT,Asian Paints Limited,,,,1,INE021A01026
ASIANTILES,Asian Granito India Limited,,,,1,INE022I01019
ASKAUTOLTD,ASK Automotive Limited,,,,1,INE491J01022
ASMS,Bartronics India Limited,,,,1,INE855F01042
ASPINWALL,Aspinwall and Company Limited,,,,1,INE991I01015
ASTEC,Astec LifeSciences Limited,,,,1,INE563J01010
ASTEC-RE,Astec LifeSciences Ltd-RE,,,,1,INE563J20010
ASTERDM,Aster DM Healthcare Limited,,,,1,INE914M01019
ASTRAL,Astral Limited,,,,1,INE006I01046
ASTRAMICRO,Astra Microwave Products Limited,,,,1,INE386C01029
ASTRAZEN,AstraZeneca Pharma India Limited,,,,1,INE203A01020
ASTRON,Astron Paper & Board Mill Limited,,,,1,INE646X01014
ATALREAL,Atal Realtech Limited,,,,1,INE0ALR01029
ATAM,Atam Valves Limited,,,,1,INE09KD01013
ATGL,Adani Total Gas Limited,,,,1,INE399L01023
ATHERENERG,Ather Energy Limited,,,,1,INE0LEZ01016
ATL,Allcargo Terminals Limited,,,,1,INE0NN701020
ATLANTAA,ATLANTAA LIMITED,,,,1,INE285H01022
ATLASCYCLE,Atlas Cycles (Haryana) Limited,,,,1,INE446A01025
ATUL,Atul Limited,,,,1,INE100A01010
ATULAUTO,Atul Auto Limited,,,,1,INE951D01028
AUBANK,AU Small Finance Bank Limited,,,,1,INE949L01017
AURIONPRO,Aurionpro Solutions Limited,,,,1,INE132H01018
AUROPHARMA,Aurobindo Pharma Limited,,,,1,INE406A01037
AURUM,Aurum PropTech Limited,,,,1,INE898S01029
AUSOMENT,Ausom Enterprise Limited,,,,1,INE218C01016
AUTOAXLES,Automotive Axles Limited,,,,1,INE449A01011
AUTOIND,Autoline Industries Limited,,,,1,INE718H01014
AVADHSUGAR,Avadh Sugar & Energy Limited,,,,1,INE349W01017
AVALON,Avalon Technologies Limited,,,,1,INE0LCL01028
AVANTEL,Avantel Limited,,,,1,INE005B01027
AVANTIFEED,Avanti Feeds Limited,,,,1,INE871C01038
AVG,AVG Logistics Limited,,,,1,INE680Z01018
AVL,Aditya Vision Limited,,,,1,INE679V01027
AVONMORE,Avonmore Capital & Management Services Limited,,,,1,INE323B01024
AVROIND,AVRO INDIA LIMITED,,,,1,INE652Z01017
AVTNPL,AVT Natural Products Limited,,,,1,INE488D01021
AWFIS,Awfis Space Solutions Limited,,,,1,INE108V01019
AWHCL,Antony Waste Handling Cell Limited,,,,1,INE01BK01022
AWL,AWL Agri Business Limited,,,,1,INE699H01024
AXISBANK,Axis Bank Limited,,,,1,INE238A01034
AXISCADES,AXISCADES Technologies Limited,,,,1,INE555B01013
AXITA,Axita Cotton Limited,,,,1,INE02EZ01022
AYMSYNTEX,AYM Syntex Limited,,,,1,INE193B01039
AZAD,Azad Engineering Limited,,,,1,INE02IJ01035
BAFNAPH,Bafna Pharmaceuticals Limited,,,,1,INE878I01022
BAGFILMS,B.A.G Films and Media Limited,,,,1,INE116D01028
BAIDFIN,Baid Finserv Limited,,,,1,INE020D01022
BAJAJ-AUTO,Bajaj Auto Limited,,,,1,INE917I01010
BAJAJCON,Bajaj Consumer Care Limited,,,,1,INE933K01021
BAJAJELEC,Bajaj Electricals Limited,,,,1,INE193E01025
BAJAJFINSV,Bajaj Finserv Limited,,,,1,INE918I01026
BAJAJHCARE,Bajaj Healthcare Limited,,,,1,INE411U01027
BAJAJHFL,Bajaj Housing Finance Limited,,,,1,INE377Y01014
BAJAJHIND,Bajaj Hindusthan Sugar Limited,,,,1,INE306A01021
BAJAJHLDNG,Bajaj Holdings & Investment Limited,,,,1,INE118A01012
BAJAJINDEF,Indef Manufacturing Limited,,,,1,INE0O9T01021
BAJEL,Bajel Projects Limited,,,,1,INE0KQN01018
BAJFINANCE,Bajaj Finance Limited,,,,1,INE296A01032
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,,,,1,INE0S2G01011
BALAJITELE,Balaji Telefilms Limited,,,,1,INE794B01026
BALAMINES,Balaji Amines Limited,,,,1,INE050E01027
BALAXI,BALAXI PHARMACEUTICALS LIMITED,,,,1,INE618N01022
BALKRISHNA,Balkrishna Paper Mills Limited,,,,1,INE875R01011
BALKRISIND,Balkrishna Industries Limited,,,,1,INE787D01026
BALMLAWRIE,Balmer Lawrie & Company Limited,,,,1,INE164A01016
BALPHARMA,Bal Pharma Limited,,,,1,INE083D01012
BALRAMCHIN,Balrampur Chini Mills Limited,,,,1,INE119A01028
BALUFORGE,Balu Forge Industries Limited,,,,1,INE011E01029
BANARBEADS,Banaras Beads Limited,,,,1,INE655B01011
BANARISUG,Bannari Amman Sugars Limited,,,,1,INE459A01010
BANCOINDIA,Banco Products (I) Limited,,,,1,INE213C01025
BANDHANBNK,Bandhan Bank Limited,,,,1,INE545U01014
BANG,Bang Overseas Limited,,,,1,INE863I01016
BANKA,Banka BioLoo Limited,,,,1,INE862Y01015
BANKBARODA,Bank of Baroda,,,,1,INE028A01039
BANKINDIA,Bank of India,,,,1,INE084A01016
BANSALWIRE,Bansal Wire Industries Limited,,,,1,INE0B9K01025
BANSWRAS,Banswara Syntex Limited,,,,1,INE629D01020
BARBEQUE,Barbeque Nation Hospitality Limited,,,,1,INE382M01027
BASF,BASF India Limited,,,,1,INE373A01013
BASML,Bannari Amman Spinning Mills Limited,,,,1,INE186H01022
BATAINDIA,Bata India Limited,,,,1,INE176A01028
BAYERCROP,Bayer Cropscience Limited,,,,1,INE462A01022
BBL,Bharat Bijlee Limited,,,,1,INE464A01036
BBOX,Black Box Limited,,,,1,INE676A01027
BBTC,Bombay Burmah Trading Corporation Limited,,,,1,INE050A01025
BBTCL,B&B Triplewall Containers Limited,,,,1,INE01EE01011
BCG,Brightcom Group Limited,,,,1,INE425B01027
BCLIND,Bcl Industries Limited,,,,1,INE412G01024
BCONCEPTS,Brand Concepts Limited,,,,1,INE977Y01011
BDL,Bharat Dynamics Limited,,,,1,INE171Z01026
BEARDSELL,Beardsell Limited,,,,1,INE520H01022
BECTORFOOD,Mrs. Bectors Food Specialities Limited,,,,1,INE495P01012
BEDMUTHA,Bedmutha Industries Limited,,,,1,INE844K01012
BEL,Bharat Electronics Limited,,,,1,INE263A01024
BELLACASA,Bella Casa Fashion & Retail Limited,,,,1,INE344T01014
BELRISE,Belrise Industries Limited,,,,1,INE894V01022
BEML,BEML Limited,,,,1,INE258A01016
BEPL,Bhansali Engineering Polymers Limited,,,,1,INE922A01025
BERGEPAINT,Berger Paints (I) Limited,,,,1,INE463A01038
BESTAGRO,Best Agrolife Limited,,,,1,INE052T01013
BFINVEST,BF Investment Limited,,,,1,INE878K01010
BFUTILITIE,BF Utilities Limited,,,,1,INE243D01012
BGRENERGY,BGR Energy Systems Limited,,,,1,INE661I01014
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,,,,1,INE414D01027
BHAGERIA,Bhageria Industries Limited,,,,1,INE354C01027
BHAGYANGR,Bhagyanagar India Limited,,,,1,INE458B01036
BHANDARI,Bhandari Hosiery Exports Limited,,,,1,INE474E01029
BHARATFORG,Bharat Forge Limited,,,,1,INE465A01025
BHARATGEAR,Bharat Gears Limited,,,,1,INE561C01019
BHARATRAS,Bharat Rasayan Limited,,,,1,INE838B01013
BHARATSE,Bharat Seats Limited,,,,1,INE415D01024
BHARATWIRE,Bharat Wire Ropes Limited,,,,1,INE316L01019
BHARTIARTL,Bharti Airtel Limited,,,,1,INE397D01024
BHARTIHEXA,Bharti Hexacom Limited,,,,1,INE343G01021
BHEL,Bharat Heavy Electricals Limited,,,,1,INE257A01026
BIGBLOC,Bigbloc Construction Limited,,,,1,INE412U01025
BIKAJI,Bikaji Foods International Limited,,,,1,INE00E101023
BIL,Bhartiya International Limited,,,,1,INE828A01016
BILVYAPAR,BIL VYAPAR LIMITED,,,,1,INE071A01013
BIOCON,Biocon Limited,,,,1,INE376G01013
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,,,,1,INE829A01014
BIRLACABLE,Birla Cable Limited,,,,1,INE800A01015
BIRLACORPN,Birla Corporation Limited,,,,1,INE340A01012
BIRLAMONEY,Aditya Birla Money Limited,,,,1,INE865C01022
BIRLANU,BirlaNu Limited,,,,1,INE557A01011
BLACKBUCK,Zinka Logistics Solutions Limited,,,,1,INE0UIZ01018
BLAL,BEML Land Assets Limited,,,,1,INE0N7W01012
BLBLIMITED,BLB Limited,,,,1,INE791A01024
BLISSGVS,Bliss GVS Pharma Limited,,,,1,INE416D01022
BLKASHYAP,B. L. Kashyap and Sons Limited,,,,1,INE350H01032
BLS,BLS International Services Limited,,,,1,INE153T01027
BLSE,BLS E-Services Limited,,,,1,INE0NLT01010
BLUECOAST,Blue Coast Hotels Limited,,,,1,INE472B01011
BLUEDART,Blue Dart Express Limited,,,,1,INE233B01017
BLUEJET,Blue Jet Healthcare Limited,,,,1,INE0KBH01020
BLUESTARCO,Blue Star Limited,,,,1,INE472A01039
BLUSPRING,Bluspring Enterprises Limited,,,,1,INE0U4101014
BODALCHEM,Bodal Chemicals Limited,,,,1,INE338D01028
BOHRAIND,Bohra Industries Limited,,,,1,INE802W01023
BOMDYEING,Bombay Dyeing & Mfg Company Limited,,,,1,INE032A01023
BORANA,Borana Weaves Limited,,,,1,INE16SF01016
BOROLTD,Borosil Limited,,,,1,INE02PY01013
BORORENEW,BOROSIL RENEWABLES LIMITED,,,,1,INE666D01022
BOROSCI,Borosil Scientific Limited,,,,1,INE02L001032
BOSCHLTD,Bosch Limited,,,,1,INE323A01026
BPCL,Bharat Petroleum Corporation Limited,,,,1,INE029A01011
BPL,BPL Limited,,,,1,INE110A01019
BRIGADE,Brigade Enterprises Limited,,,,1,INE791I01019
BRITANNIA,Britannia Industries Limited,,,,1,INE216A01030
BRNL,Bharat Road Network Limited,,,,1,INE727S01012
BROOKS,Brooks Laboratories Limited,,,,1,INE650L01011
BSE,BSE Limited,,,,1,INE118H01025
BSHSL,Bombay Super Hybrid Seeds Limited,,,,1,INE032Z01020
BSL,BSL Limited,,,,1,INE594B01012
BSOFT,BIRLASOFT LIMITED,,,,1,INE836A01035
BTML,Bodhi Tree Multimedia Limited,,,,1,INE0EEJ01023
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,,,,1,INE295F01017
BVCL,Barak Valley Cements Limited,,,,1,INE139I01011
BYKE,The Byke Hospitality Ltd,,,,1,INE319B01014
CALSOFT,California Software Company Limited,,,,1,INE526B01014
CAMLINFINE,Camlin Fine Sciences Limited,,,,1,INE052I01032
CAMPUS,Campus Activewear Limited,,,,1,INE278Y01022
CAMS,Computer Age Management Services Limited,,,,1,INE596I01012
CANBK,Canara Bank,,,,1,INE476A01022
CANFINHOME,Can Fin Homes Limited,,,,1,INE477A01020
CANTABIL,Cantabil Retail India Limited,,,,1,INE068L01024
CAPACITE,Capacit'e Infraprojects Limited,,,,1,INE264T01014
CAPITALSFB,Capital Small Finance Bank Limited,,,,1,INE646H01017
CAPLIPOINT,Caplin Point Laboratories Limited,,,,1,INE475E01026
CAPTRU-RE,Capital Trust Limited-RE,,,,1,INE707C20018
CAPTRUST,Capital Trust Limited,,,,1,INE707C01018
CARBORUNIV,Carborundum Universal Limited,,,,1,INE120A01034
CARERATING,CARE Ratings Limited,,,,1,INE752H01013
CARRARO,Carraro India Limited,,,,1,INE0V7W01012
CARTRADE,Cartrade Tech Limited,,,,1,INE290S01011
CARYSIL,CARYSIL LIMITED,,,,1,INE482D01024
CASTROLIND,Castrol India Limited,,,,1,INE172A01027
CCCL,Consolidated Construction Consortium Limited,,,,1,INE429I01024
CCHHL,Country Club Hospitality & Holidays Limited,,,,1,INE652F01027
CCL,CCL Products (India) Limited,,,,1,INE421D01022
CDSL,Central Depository Services (India) Limited,,,,1,INE736A01011
